<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GAZP;D;20100721;000000;158.25000;47566305
GAZP;D;20100722;000000;162.30000;49516607
GAZP;D;20100723;000000;160.90000;37691958
GAZP;D;20100726;000000;162.13000;28755306
GAZP;D;20100727;000000;164.30000;52766610
GAZP;D;20100728;000000;161.79000;38800634
GAZP;D;20100729;000000;165.50000;47328215
GAZP;D;20100730;000000;162.85000;48418713
GAZP;D;20100802;000000;168.99000;53399936
GAZP;D;20100803;000000;165.92000;45622801
GAZP;D;20100804;000000;167.04000;60207530
GAZP;D;20100805;000000;166.95000;53599329
GAZP;D;20100806;000000;166.88000;43944735
GAZP;D;20100809;000000;169.61000;51448076
GAZP;D;20100810;000000;166.53000;49678565
GAZP;D;20100811;000000;162.30000;42790737
GAZP;D;20100812;000000;162.43000;42780897
GAZP;D;20100813;000000;161.26000;35415215
GAZP;D;20100816;000000;163.18000;38312614
GAZP;D;20100817;000000;164.20000;35876721
GAZP;D;20100818;000000;162.40000;27432359
GAZP;D;20100819;000000;160.10000;43431594
GAZP;D;20100820;000000;158.73000;42170720
GAZP;D;20100823;000000;159.11000;32867393
GAZP;D;20100824;000000;156.60000;34765491
GAZP;D;20100825;000000;155.61000;36801051
GAZP;D;20100826;000000;158.70000;40709007
GAZP;D;20100827;000000;158.56000;36583836
GAZP;D;20100830;000000;159.00000;31734434
GAZP;D;20100831;000000;159.15000;37258355
GAZP;D;20100901;000000;161.79000;48730998
GAZP;D;20100902;000000;162.80000;42681209
GAZP;D;20100903;000000;163.00000;49384015
GAZP;D;20100906;000000;162.95000;29482822
GAZP;D;20100907;000000;161.54000;27619419
GAZP;D;20100908;000000;164.14000;42905640
GAZP;D;20100909;000000;165.53000;54572142
GAZP;D;20100910;000000;164.40000;33895923
GAZP;D;20100913;000000;165.00000;39889463
GAZP;D;20100914;000000;163.00000;47407661
GAZP;D;20100915;000000;163.87000;43898286
GAZP;D;20100916;000000;163.17000;29468668
GAZP;D;20100917;000000;162.18000;37763011
GAZP;D;20100920;000000;163.15000;27180422
GAZP;D;20100921;000000;163.14000;34188179
GAZP;D;20100922;000000;160.80000;41656544
GAZP;D;20100923;000000;159.22000;43737115
GAZP;D;20100924;000000;157.97000;48539248
GAZP;D;20100927;000000;157.50000;44995047
GAZP;D;20100928;000000;156.80000;41608656
GAZP;D;20100929;000000;157.85000;42492680
GAZP;D;20100930;000000;160.00000;54723017
GAZP;D;20101001;000000;160.54000;60923751
GAZP;D;20101004;000000;161.99000;61902787
GAZP;D;20101005;000000;162.44000;61546943
GAZP;D;20101006;000000;163.00000;67921495
GAZP;D;20101007;000000;162.49000;43529081
GAZP;D;20101008;000000;163.35000;43243330
GAZP;D;20101011;000000;165.00000;35204894
GAZP;D;20101012;000000;163.00000;44302117
GAZP;D;20101013;000000;164.74000;57311591
GAZP;D;20101014;000000;162.30000;56195281
