<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
MICEX;60;20100929;180000;1416.78000;1420.45000;1416.32000;1419.18000
MICEX;60;20100930;100000;1418.37000;1423.85000;1417.73000;1423.27000
MICEX;60;20100930;110000;1423.13000;1428.20000;1421.71000;1427.13000
MICEX;60;20100930;120000;1427.32000;1427.87000;1424.51000;1426.94000
MICEX;60;20100930;130000;1426.96000;1429.13000;1424.90000;1425.84000
MICEX;60;20100930;140000;1425.80000;1426.45000;1423.77000;1424.38000
MICEX;60;20100930;150000;1424.35000;1425.15000;1423.23000;1423.85000
MICEX;60;20100930;160000;1423.87000;1433.42000;1423.84000;1430.91000
MICEX;60;20100930;170000;1430.91000;1441.22000;1430.91000;1438.12000
MICEX;60;20100930;180000;1438.10000;1440.34000;1435.26000;1440.30000
MICEX;60;20101001;100000;1439.73000;1441.21000;1437.54000;1437.59000
MICEX;60;20101001;110000;1437.55000;1444.11000;1436.32000;1444.01000
MICEX;60;20101001;120000;1444.02000;1446.99000;1440.66000;1442.44000
MICEX;60;20101001;130000;1442.36000;1447.15000;1442.16000;1446.72000
MICEX;60;20101001;140000;1446.76000;1452.75000;1446.75000;1449.67000
MICEX;60;20101001;150000;1449.74000;1456.49000;1448.15000;1455.60000
MICEX;60;20101001;160000;1455.59000;1461.49000;1455.59000;1461.49000
MICEX;60;20101001;170000;1461.37000;1462.22000;1457.97000;1460.69000
MICEX;60;20101001;180000;1460.52000;1461.96000;1454.21000;1455.63000
MICEX;60;20101004;100000;1459.19000;1467.29000;1459.19000;1465.53000
MICEX;60;20101004;110000;1465.50000;1467.79000;1458.76000;1461.53000
MICEX;60;20101004;120000;1461.53000;1464.99000;1456.69000;1457.38000
MICEX;60;20101004;130000;1457.32000;1458.71000;1455.12000;1457.21000
MICEX;60;20101004;140000;1457.19000;1463.26000;1456.86000;1460.60000
MICEX;60;20101004;150000;1460.61000;1467.63000;1460.55000;1467.63000
MICEX;60;20101004;160000;1467.52000;1469.08000;1465.02000;1465.33000
MICEX;60;20101004;170000;1465.35000;1470.78000;1463.83000;1467.17000
MICEX;60;20101004;180000;1467.11000;1468.35000;1463.90000;1465.09000
MICEX;60;20101005;100000;1464.47000;1466.90000;1458.79000;1460.57000
MICEX;60;20101005;110000;1460.56000;1469.10000;1460.50000;1469.01000
MICEX;60;20101005;120000;1469.02000;1471.89000;1468.38000;1468.82000
MICEX;60;20101005;130000;1468.80000;1468.80000;1464.17000;1464.81000
