<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
NASDAQ.ORCL;0;20100510;093012;24.06000;0
NASDAQ.ORCL;0;20100510;093016;24.07000;1000
NASDAQ.ORCL;0;20100510;093016;24.05000;0
NASDAQ.ORCL;0;20100510;093016;24.08000;0
NASDAQ.ORCL;0;20100510;093017;24.07000;100
NASDAQ.ORCL;0;20100510;093019;24.10000;1000
NASDAQ.ORCL;0;20100510;093019;24.24000;0
NASDAQ.ORCL;0;20100510;093020;24.23000;900
NASDAQ.ORCL;0;20100510;093020;24.24000;0
NASDAQ.ORCL;0;20100510;093020;24.23000;0
NASDAQ.ORCL;0;20100510;093021;24.22000;300
NASDAQ.ORCL;0;20100510;093021;24.21000;0
NASDAQ.ORCL;0;20100510;093022;24.10000;300
NASDAQ.ORCL;0;20100510;093022;24.20000;0
NASDAQ.ORCL;0;20100510;093023;24.23000;2500
NASDAQ.ORCL;0;20100510;093023;24.37000;0
NASDAQ.ORCL;0;20100510;093024;24.40000;700
NASDAQ.ORCL;0;20100510;093024;24.39000;0
NASDAQ.ORCL;0;20100510;093026;24.36000;200
NASDAQ.ORCL;0;20100510;093027;24.44000;2050
NASDAQ.ORCL;0;20100510;093027;24.36000;0
NASDAQ.ORCL;0;20100510;093029;24.40000;800
NASDAQ.ORCL;0;20100510;093029;24.41500;0
NASDAQ.ORCL;0;20100510;093029;24.39000;0
NASDAQ.ORCL;0;20100510;093030;24.37000;1000
NASDAQ.ORCL;0;20100510;093030;24.36000;0
NASDAQ.ORCL;0;20100510;093031;24.97000;209
NASDAQ.ORCL;0;20100510;093033;25.00000;1400
NASDAQ.ORCL;0;20100510;093036;24.96000;200
NASDAQ.ORCL;0;20100510;093038;25.00000;100
NASDAQ.ORCL;0;20100510;093039;25.00000;998
NASDAQ.ORCL;0;20100510;093039;25.06000;0
NASDAQ.ORCL;0;20100510;093041;24.85000;800
NASDAQ.ORCL;0;20100510;093041;24.86000;0
NASDAQ.ORCL;0;20100510;093041;24.57000;0
NASDAQ.ORCL;0;20100510;093042;24.57000;300
NASDAQ.ORCL;0;20100510;093042;25.03000;0
NASDAQ.ORCL;0;20100510;093043;24.57000;2400
NASDAQ.ORCL;0;20100510;093043;24.58000;0
NASDAQ.ORCL;0;20100510;093045;24.67000;8905
NASDAQ.ORCL;0;20100510;093045;24.71000;0
NASDAQ.ORCL;0;20100510;093045;24.68000;0
NASDAQ.ORCL;0;20100510;093046;24.68000;3200
NASDAQ.ORCL;0;20100510;093046;24.67000;0
NASDAQ.ORCL;0;20100510;093046;24.69000;0
NASDAQ.ORCL;0;20100510;093047;24.59000;700
NASDAQ.ORCL;0;20100510;093047;25.05700;0
NASDAQ.ORCL;0;20100510;093048;24.59000;1500
NASDAQ.ORCL;0;20100510;093048;24.58000;0
NASDAQ.ORCL;0;20100510;093051;24.47000;100
NASDAQ.ORCL;0;20100510;093052;24.46000;2561
NASDAQ.ORCL;0;20100510;093052;24.29000;0
NASDAQ.ORCL;0;20100510;093052;24.47000;0
NASDAQ.ORCL;0;20100510;093052;24.31000;0
NASDAQ.ORCL;0;20100510;093053;24.45000;300
NASDAQ.ORCL;0;20100510;093101;24.32000;100
NASDAQ.ORCL;0;20100510;093111;24.33000;1100
NASDAQ.ORCL;0;20100510;093114;24.26000;800
NASDAQ.ORCL;0;20100510;093120;24.24000;100
NASDAQ.ORCL;0;20100510;093125;24.23000;1800
NASDAQ.ORCL;0;20100510;093125;24.19000;0
NASDAQ.ORCL;0;20100510;093126;24.22000;1700
NASDAQ.ORCL;0;20100510;093126;24.18000;0
NASDAQ.ORCL;0;20100510;093133;24.23000;400
NASDAQ.ORCL;0;20100510;093134;24.22000;8400
NASDAQ.ORCL;0;20100510;093134;24.21000;0
NASDAQ.ORCL;0;20100510;093134;24.22500;0
NASDAQ.ORCL;0;20100510;093135;24.22500;8600
NASDAQ.ORCL;0;20100510;093135;24.21000;0
NASDAQ.ORCL;0;20100510;093135;24.23000;0
NASDAQ.ORCL;0;20100510;093135;24.22000;0
NASDAQ.ORCL;0;20100510;093136;24.28000;300
NASDAQ.ORCL;0;20100510;093137;24.28000;500
NASDAQ.ORCL;0;20100510;093137;24.27000;0
NASDAQ.ORCL;0;20100510;093138;24.27000;2200
NASDAQ.ORCL;0;20100510;093138;24.28000;0
NASDAQ.ORCL;0;20100510;093141;24.31000;100
NASDAQ.ORCL;0;20100510;093147;24.36000;1200
NASDAQ.ORCL;0;20100510;093149;24.38000;400
NASDAQ.ORCL;0;20100510;093150;24.38000;900
NASDAQ.ORCL;0;20100510;093151;24.37000;600
NASDAQ.ORCL;0;20100510;093153;24.41000;2773
NASDAQ.ORCL;0;20100510;093155;24.41000;100
NASDAQ.ORCL;0;20100510;093156;24.41000;100
NASDAQ.ORCL;0;20100510;093158;24.41000;3500
NASDAQ.ORCL;0;20100510;093158;24.40000;0
NASDAQ.ORCL;0;20100510;093158;24.41000;0
NASDAQ.ORCL;0;20100510;093201;24.42000;300
NASDAQ.ORCL;0;20100510;093203;24.44000;100
NASDAQ.ORCL;0;20100510;093207;24.42000;300
NASDAQ.ORCL;0;20100510;093207;24.42500;0
NASDAQ.ORCL;0;20100510;093208;24.42500;3100
NASDAQ.ORCL;0;20100510;093208;24.42000;0
NASDAQ.ORCL;0;20100510;093208;24.44000;0
NASDAQ.ORCL;0;20100510;093209;24.44000;100
NASDAQ.ORCL;0;20100510;093210;24.44000;300
NASDAQ.ORCL;0;20100510;093210;24.43000;0
NASDAQ.ORCL;0;20100510;093211;24.43000;1100
NASDAQ.ORCL;0;20100510;093211;24.44000;0
